boroct2020,Neighborhood,Borough,Price,convenience_score,livability_score,affordability_score,combined_score,total_crimes,noise_complaint_count,total_mta_ridership,total_citibike_trips,total_businesses
2009600,Mott Haven/Hunts Point,Bronx,3150.0,0.5149318317204482,88.00034740812649,64.5909645909646,44.25763961992347,30.0,1263,22907.0,0.0,0.0
2009800,Mott Haven/Hunts Point,Bronx,2313.0,0.0,93.80466501684452,85.03052503052504,46.90233250842226,28.0,295,0.0,0.0,0.0
2011000,Mott Haven/Hunts Point,Bronx,2840.0,0.0,92.7468292595333,72.16117216117217,46.37341462976665,7.0,1082,0.0,0.0,0.0
2011800,Mott Haven/Hunts Point,Bronx,2840.0,0.0,97.32580029383105,72.16117216117217,48.662900146915526,4.0,359,0.0,0.0,0.0
2013000,Mott Haven/Hunts Point,Bronx,2840.0,0.0,98.83424051562989,72.16117216117217,49.41712025781494,5.0,64,0.0,0.0,0.0
2013200,Mott Haven/Hunts Point,Bronx,2840.0,0.0,96.3394250688678,72.16117216117217,48.1697125344339,13.0,276,0.0,0.0,0.0
2013300,Mott Haven/Hunts Point,Bronx,2737.5,0.0,88.51315918218368,74.66422466422466,44.25657959109184,48.0,658,0.0,0.0,0.0
2013500,Mott Haven/Hunts Point,Bronx,2737.5,0.6887818136891525,93.38150872606393,74.66422466422466,47.03514526987654,31.0,284,0.0,223.0,0.0
2013800,Mott Haven/Hunts Point,Bronx,2840.0,0.0,96.97593685674069,72.16117216117217,48.487968428370344,14.0,135,0.0,0.0,0.0
2014100,Mott Haven/Hunts Point,Bronx,3100.0,0.9111687669878923,79.16025812277212,65.81196581196582,40.03571344488001,91.0,1081,0.0,295.0,0.0
2014300,Mott Haven/Hunts Point,Bronx,2737.5,0.7505559673832468,93.1184057045294,74.66422466422466,46.93448083595632,18.0,702,0.0,243.0,0.0
2014400,Mott Haven/Hunts Point,Bronx,2840.0,0.0,92.54741772785557,72.16117216117217,46.27370886392779,35.0,317,0.0,0.0,0.0
2014500,Mott Haven/Hunts Point,Bronx,2737.5,0.8679268594020262,85.30342691731357,74.66422466422466,43.0856768883578,72.0,539,0.0,281.0,0.0
2014701,Mott Haven/Hunts Point,Bronx,2737.5,0.704225352112676,92.20024780313832,74.66422466422466,46.4522365776255,39.0,264,0.0,228.0,0.0
2014702,Mott Haven/Hunts Point,Bronx,2737.5,0.9605880899431677,65.890147205032,74.66422466422466,33.42536764748758,25.0,5311,0.0,311.0,0.0
2014900,Mott Haven/Hunts Point,Bronx,2737.5,0.2718062762540153,89.65092079644413,74.66422466422466,44.96136353634907,36.0,800,0.0,88.0,0.0
2015200,Mott Haven/Hunts Point,Bronx,2840.0,0.0,96.54383883780987,72.16117216117217,48.271919418904936,18.0,97,0.0,0.0,0.0
2015800,Mott Haven/Hunts Point,Bronx,2840.0,0.0,99.1942183665295,72.16117216117217,49.59710918326475,4.0,29,0.0,0.0,0.0
2016000,Mott Haven/Hunts Point,Bronx,2840.0,0.0,97.60620042883649,72.16117216117217,48.803100214418244,10.0,138,0.0,0.0,0.0
2016200,Mott Haven/Hunts Point,Bronx,2840.0,0.0,98.58988214142663,72.16117216117217,49.294941070713314,7.0,50,0.0,0.0,0.0
